,,EP Poll Average,,&#160;,,&#160;,,40.4,,40.8,,Trump +0.4,,
,,,NBC News/Wall St Journal,,,9/6 - 9/8,,649 LV,,41,,42,,Trump +1,,
,,,Washington Post/SM,,,8/9 - 9/1,,2026 RV,,46,,45,,Clinton +1,,
,,,Arizona Republic,,,8/17 - 8/31,,704 LV,,35,,34,,Clinton +1,,
,,,Gravis Marketing (R),,,8/27 - 8/27,,1244 LV,,40,,44,,Trump +4,,
,,,OH Predictive Insights,,,8/25 - 8/27,,728 LV,,40,,39,,Clinton +1,,
,,,CNN/ORC,,,8/18 - 8/23,,809 LV,,44,,49,,Trump +5,,
,,,CBS News/YouGov,,,8/2 - 8/5,,1095 LV,,42,,44,,Trump +2,,
,,,Public Policy Polling (D),,,6/22 - 6/23,,691 RV,,40,,44,,Trump +4,,
,,,OH Predictive Insights,,,6/20 - 6/20,,1060 LV,,47,,42,,Clinton +5,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,40,,46,,Trump +6,,
,,,Public Policy Polling (D),,,5/13 - 5/15,,896 RV,,41,,45,,Trump +4,,
,,,Behavior Research Center,,,4/4 - 4/11,,564 RV,,42,,35,,Clinton +7,,
,,,Merrill Poll,,,3/7 - 3/11,,701 LV,,38,,38,,Tie,,
