,,EP Poll Average,,&#160;,,&#160;,,45.0,,45.4,,Trump +0.4,,
,,,NY Times/Siena,,,9/10 - 9/14,,867 LV,,43,,43,,Tie,,
,,,CNN/ORC,,,9/7 - 9/12,,788 LV,,46,,50,,Trump +4,,
,,,CBS News/YouGov,,,9/7 - 9/9,,1193 LV,,44,,42,,Clinton +2,,
,,,JMC Analytics,,,9/7 - 9/8,,781 LV,,42,,46,,Trump +4,,
,,,Quinnipiac,,,8/29 - 9/7,,761 LV,,47,,47,,Tie,,
,,,Public Policy Polling (D),,,9/4 - 9/6,,744 LV,,47,,46,,Clinton +1,,
,,,Washington Post/SM,,,8/9 - 9/1,,3287 RV,,46,,44,,Clinton +2,,
,,,Mason-Dixon,,,8/22 - 8/24,,625 LV,,44,,42,,Clinton +2,,
,,,Florida Atlantic University,,,8/19 - 8/22,,1200 LV,,41,,43,,Trump +2,,
,,,FL Chamber,,,8/17 - 8/22,,608 LV,,43,,44,,Trump +1,,
,,,Monmouth University,,,8/12 - 8/15,,402 LV,,48,,39,,Clinton +9,,
,,,CBS News/YouGov,,,8/10 - 8/12,,1194 LV,,45,,40,,Clinton +5,,
,,,FOX 13/Opinion Savvy,,,8/10 - 8/10,,622 LV,,45,,44,,Clinton +1,,
,,,NBC News/Wall St Journal,,,8/4 - 8/10,,862 RV,,44,,39,,Clinton +5,,
,,,Quinnipiac,,,7/30 - 8/7,,1056 LV,,46,,45,,Clinton +1,,
,,,Suffolk University,,,8/1 - 8/3,,500 LV,,48,,42,,Clinton +6,,
,,,NBC News/Wall St Journal,,,7/5 - 7/11,,871 RV,,44,,37,,Clinton +7,,
,,,Quinnipiac,,,6/30 - 7/11,,1015 RV,,39,,42,,Trump +3,,
,,,JMC Analytics,,,7/9 - 7/10,,700 LV,,42,,47,,Trump +5,,
,,,Gravis Marketing (R),,,6/27 - 6/28,,1619 RV,,49,,49,,Tie,,
,,,Bay News 9/SurveyUSA,,,6/25 - 6/27,,1678 LV,,46,,42,,Clinton +4,,
,,,CBS News/YouGov,,,6/21 - 6/24,,1192 LV,,44,,41,,Clinton +3,,
,,,Quinnipiac,,,6/8 - 6/19,,975 RV,,47,,39,,Clinton +8,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,43,,42,,Clinton +1,,
,,,Public Policy Polling (D),,,6/2 - 6/5,,737 RV,,44,,45,,Trump +1,,
,,,Mason-Dixon,,,5/31 - 6/2,,625 LV,,45,,42,,Clinton +3,,
,,,CBS News/YouGov,,,5/16 - 5/19,,995 LV,,43,,42,,Clinton +1,,
,,,Gravis Marketing (R),,,5/17 - 5/18,,2542 RV,,46,,42,,Clinton +4,,
,,,Quinnipiac,,,4/27 - 5/8,,1051 RV,,43,,42,,Clinton +1,,
,,,AIF (R),,,4/25 - 4/27,,604 LV,,49,,36,,Clinton +13,,
,,,NBC News/Wall St Journal,,,3/4 - 3/10,,2422 RV,,49,,41,,Clinton +8,,
,,,News 13/SurveyUSA,,,3/4 - 3/6,,1961 LV,,44,,45,,Trump +1,,
,,,CNN/ORC,,,3/2 - 3/6,,854 RV,,50,,43,,Clinton +7,,
,,,Public Policy Polling (D),,,2/24 - 2/25,,1012 RV,,44,,46,,Trump +2,,
,,,Florida Atlantic University,,,1/15 - 1/18,,1008 RV,,44,,47,,Trump +3,,
,,,Florida Atlantic University,,,11/15 - 11/16,,829 RV,,41,,49,,Trump +8,,
,,,Bay News 9/News 13,,,10/28 - 11/1,,2400 LV,,43,,47,,Trump +4,,
