,,EP Poll Average,,&#160;,,&#160;,,41.5,,45.5,,Trump +4.0,,
,,,Monmouth University,,,9/15 - 9/18,,401 LV,,42,,45,,Trump +3,,
,,,FOX 5 Atlanta,,,9/14 - 9/14,,568 LV,,42,,46,,Trump +4,,
,,,Emerson,,,9/9 - 9/13,,600 LV,,39,,45,,Trump +6,,
,,,NBC News/Wall St Journal,,,9/6 - 9/8,,649 LV,,43,,46,,Trump +3,,
,,,Washington Post/SM,,,8/9 - 9/1,,2034 RV,,46,,46,,Tie,,
,,,FOX 5 Atlanta,,,8/17 - 8/17,,730 LV,,43,,43,,Tie,,
,,,CBS News/YouGov,,,8/10 - 8/12,,990 LV,,41,,45,,Trump +4,,
,,,Gravis Marketing (R),,,8/4 - 8/8,,1604 RV,,44,,45,,Trump +1,,
,,,JMC Analytics,,,8/6 - 8/7,,615 LV,,44,,37,,Clinton +7,,
,,,Atlanta Journal-Constitution,,,8/1 - 8/4,,847 RV,,44,,40,,Clinton +4,,
,,,WSB-TV/Landmark,,,7/31 - 7/31,,787 LV,,45,,45,,Tie,,
,,,WXIA-TV/SurveyUSA,,,7/29 - 7/31,,628 LV,,42,,46,,Trump +4,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,43,,42,,Clinton +1,,
,,,Public Policy Polling (D),,,5/27 - 5/30,,724 RV,,40,,49,,Trump +9,,
,,,FOX 5 Atlanta,,,5/15 - 5/15,,587 LV,,41,,44,,Trump +3,,
,,,Atlanta Journal-Constitution,,,5/9 - 5/12,,822 RV,,41,,45,,Trump +4,,
,,,WSB-TV/Landmark,,,5/5 - 5/5,,570 LV,,41,,42,,Trump +1,,
,,,TEGNA/SurveyUSA,,,2/22 - 2/23,,1261 LV,,41,,50,,Trump +9,,
,,,WXIA-TV/SurveyUSA,,,10/15 - 10/26,,481 LV,,37,,46,,Trump +9,,
