,,EP Poll Average,,&#160;,,&#160;,,45.0,,43.7,,Clinton +1.3,,
,,,Monmouth University,,,9/11 - 9/13,,406 LV,,42,,44,,Trump +2,,
,,,NBC News/Wall St Journal,,,9/6 - 9/8,,627 LV,,45,,44,,Clinton +1,,
,,,Washington Post/SM,,,8/9 - 9/1,,2776 RV,,48,,43,,Clinton +5,,
,,,Suffolk University,,,8/15 - 8/17,,500 LV,,44,,42,,Clinton +2,,
,,,CBS News/YouGov,,,8/2 - 8/5,,993 LV,,43,,41,,Clinton +2,,
,,,KTNV/Rasmussen,,,7/29 - 7/31,,750 LV,,41,,40,,Clinton +1,,
,,,KTNV/Rasmussen,,,7/22 - 7/24,,750 LV,,38,,43,,Trump +5,,
,,,Monmouth University,,,7/7 - 7/10,,408 LV,,45,,41,,Clinton +4,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,44,,40,,Clinton +4,,
,,,Gravis Marketing (R),,,5/24 - 5/25,,1637 RV,,42,,47,,Trump +5,,
