,,EP Poll Average,,&#160;,,&#160;,,43.7,,45.2,,Trump +1.5,,
,,,Suffolk,,,9/12 - 9/14,,500 LV,,39,,42,,Trump +3,,
,,,Bloomberg,,,9/9 - 9/12,,802 LV,,43,,48,,Trump +5,,
,,,CNN/ORC,,,9/7 - 9/12,,769 LV,,46,,50,,Trump +4,,
,,,CBS News/YouGov,,,9/7 - 9/9,,994 LV,,46,,39,,Clinton +7,,
,,,Quinnipiac,,,8/29 - 9/7,,775 LV,,45,,46,,Trump +1,,
,,,Washington Post/SM,,,8/9 - 9/1,,2543 RV,,43,,46,,Trump +3,,
,,,Emerson,,,8/25 - 8/27,,800 LV,,43,,43,,Tie,,
,,,Monmouth University,,,8/18 - 8/21,,402 LV,,43,,39,,Clinton +4,,
,,,NBC News/Wall St Journal,,,8/3 - 8/7,,889 RV,,43,,38,,Clinton +5,,
,,,Quinnipiac,,,7/30 - 8/7,,812 LV,,49,,45,,Clinton +4,,
,,,Public Policy Polling (D),,,7/22 - 7/24,,1334 RV,,45,,45,,Tie,,
,,,Suffolk University,,,7/18 - 7/20,,500 LV,,44,,44,,Tie,,
,,,Suffolk,,,7/18 - 7/20,,500 LV,,44,,44,,Tie,,
,,,CBS News/YouGov,,,7/13 - 7/15,,1104 LV,,44,,40,,Clinton +4,,
,,,Quinnipiac,,,6/30 - 7/11,,955 RV,,41,,41,,Tie,,
,,,NBC News/Wall St Journal,,,7/5 - 7/10,,848 RV,,39,,39,,Tie,,
,,,Gravis Marketing (R),,,6/27 - 6/28,,1270 RV,,49,,48,,Clinton +1,,
,,,Public Policy Polling (D),,,6/22 - 6/23,,708 RV,,44,,40,,Clinton +4,,
,,,Quinnipiac,,,6/8 - 6/19,,971 RV,,40,,40,,Tie,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,41,,42,,Trump +1,,
,,,CBS News/YouGov,,,5/16 - 5/19,,992 LV,,44,,39,,Clinton +5,,
,,,Quinnipiac,,,4/27 - 5/8,,1042 RV,,39,,43,,Trump +4,,
,,,Public Policy Polling (D),,,4/26 - 4/27,,799 RV,,45,,42,,Clinton +3,,
,,,NBC News/Wall St Journal,,,3/4 - 3/10,,2052 RV,,48,,42,,Clinton +6,,
,,,CNN/ORC,,,3/2 - 3/6,,884 RV,,50,,43,,Clinton +7,,
,,,Public Policy Polling (D),,,3/3 - 3/4,,1248 RV,,45,,40,,Clinton +5,,
,,,Quinnipiac,,,2/16 - 2/20,,1539 RV,,42,,44,,Trump +2,,
,,,Quinnipiac,,,9/25 - 10/5,,1180 RV,,43,,42,,Clinton +1,,
,,,Quinnipiac,,,8/7 - 8/18,,1096 RV,,43,,38,,Clinton +5,,
