,,EP Poll Average,,&#160;,,&#160;,,45.8,,40.8,,Clinton +5.0,,
,,,Univ. of Mary Washington,,,9/6 - 9/12,,685 LV,,40,,37,,Clinton +3,,
,,,Public Policy Polling (D),,,9/9 - 9/11,,878 LV,,50,,42,,Clinton +8,,
,,,Emerson,,,8/30 - 9/1,,800 LV,,44,,43,,Clinton +1,,
,,,Washington Post/SM,,,8/9 - 9/1,,2468 RV,,49,,41,,Clinton +8,,
,,,Hampton University,,,8/24 - 8/28,,801 RV,,43,,41,,Clinton +2,,
,,,Roanoke College,,,8/7 - 8/17,,803 LV,,55,,36,,Clinton +19,,
,,,Quinnipiac,,,8/9 - 8/16,,808 LV,,50,,38,,Clinton +12,,
,,,Washington Post,,,8/11 - 8/14,,LV,,51,,43,,Clinton +8,,
,,,Washington Post,,,8/11 - 8/14,,707 LV,,51,,43,,Clinton +8,,
,,,NBC News/Wall St Journal,,,8/4 - 8/10,,897 RV,,46,,33,,Clinton +13,,
,,,CBS News/YouGov,,,8/2 - 8/5,,1181 LV,,49,,37,,Clinton +12,,
,,,FOX News,,,7/9 - 7/12,,601 RV,,44,,37,,Clinton +7,,
,,,NBC News/Wall St Journal,,,7/5 - 7/11,,876 RV,,44,,35,,Clinton +9,,
,,,Hampton University,,,7/6 - 7/10,,805 LV,,39,,39,,Tie,,
,,,Public Policy Polling (D),,,6/13 - 6/15,,1032 RV,,48,,45,,Clinton +3,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,44,,39,,Clinton +5,,
,,,Gravis Marketing (R),,,5/24 - 5/24,,1728 RV,,45,,41,,Clinton +4,,
,,,Roanoke College,,,5/9 - 5/17,,610 LV,,38,,38,,Tie,,
,,,Christopher Newport Univ.,,,3/23 - 4/3,,1167 RV,,44,,35,,Clinton +9,,
,,,Roanoke College,,,1/18 - 1/26,,524 LV,,52,,35,,Clinton +17,,
,,,Roanoke College,,,11/9 - 11/13,,555 RV,,50,,36,,Clinton +14,,
,,,Christopher Newport Univ.,,,9/29 - 10/8,,1067 RV,,47,,40,,Clinton +7,,
,,,CNU,,,9/29 - 10/8,,1067 RV,,47,,40,,Clinton +7,,
,,,Roanoke College,,,8/10 - 8/20,,535 RV,,43,,32,,Clinton +11,,
,,,Public Policy Polling (D),,,7/13 - 7/15,,1170 RV,,49,,39,,Clinton +10,,
