"pointspread" "score1" "score2" "scorediff" "loc"
-7 76 65 -11 "N"
-6.5 77 70 -7 "V"
-14 86 72 -14 "H"
10.5 74 89 15 "V"
7 69 72 3 "H"
-7 61 53 -8 "V"
19.5 61 78 17 "VN"
5 68 91 23 "V"
-4 78 65 -13 "H"
13.5 71 76 5 "V1"
10.5 40 79 39 "V"
2 91 80 -11 "H"
7 57 48 -9 "V"
-8 62 50 -12 "H"
4 70 67 -3 "H"
11.5 58 81 23 "V"
3.5 69 74 5 "V"
3.5 71 56 -15 "H"
3.5 86 89 3 "H"
7 65 77 12 "V"
-4.5 72 66 -6 "H"
1.5 41 56 15 "V"
13 51 58 7 "V"
4 89 88 -1 "H"
10 56 72 16 "V"
2 69 65 -4 "V"
9 57 78 21 "V"
4 65 69 4 "N1"
-8.5 82 63 -19 "N"
-5 85 60 -25 "N"
-4 82 77 -5 "H1"
10 61 77 16 "V"
-1 73 80 7 "V"
-14 87 57 -30 "H"
-8 62 58 -4 "H"
-14.5 65 43 -22 "H"
-12 68 53 -15 "V"
-19 71 64 -7 "H"
-3.5 71 67 -4 "V"
-7.5 71 56 -15 "V"
-13.5 68 64 -4 "H"
-8.5 68 55 -13 "V"
-5.5 86 72 -14 "H"
-18.5 68 56 -12 "H"
-10 54 50 -4 "V"
-10.5 70 62 -8 "V"
-14 67 50 -17 "H"
-7 68 53 -15 "H"
3.5 88 81 -7 "V1"
-6.5 67 81 14 "V"
-16.5 72 58 -14 "H"
-9 64 68 4 "H"
-5.5 62 59 -3 "N"
2 65 46 -19 "N"
7.5 42 88 46 "N"
-6.5 70 67 -3 "H"
-2.5 65 62 -3 "N"
-3.5 77 55 -22 "N"
7 56 58 2 "V"
-8.5 76 81 5 "H"
6.5 54 73 19 "V"
-8.5 66 62 -4 "V"
-9 50 53 3 "H"
-10.5 65 45 -20 "H"
9.5 68 84 16 "V"
-6 68 65 -3 "H"
-3 75 43 -32 "V"
-7.5 50 49 -1 "H"
4 59 55 -4 "H"
3.5 53 54 1 "V"
-6 59 56 -3 "H"
-3 58 54 -4 "V"
-3.5 37 49 12 "V"
-8.5 60 57 -3 "H"
-1.5 52 45 -7 "V"
-12 68 58 -10 "H"
-15.5 64 56 -8 "H"
2 94 97 3 "V3"
-11.5 61 43 -18 "H"
16 52 64 12 "V"
5.5 83 87 4 "V"
-7.5 61 58 -3 "H"
1.5 58 48 -10 "N"
12 51 61 10 "N"
-11.5 62 43 -19 "H"
-4.5 66 54 -12 "H"
-3.5 57 58 1 "H"
-9 72 51 -21 "H"
-17.5 94 72 -22 "H"
-25 93 50 -43 "H"
-12 85 57 -28 "V"
-17 63 55 -8 "H"
-5.5 66 54 -12 "V"
1.5 65 64 -1 "H"
-25.5 73 53 -20 "N"
-5.5 69 50 -19 "N"
-4.5 68 67 -1 "N"
-12 92 83 -9 "H1"
-19 60 57 -3 "H"
-1.5 66 70 4 "V"
-10.5 80 70 -10 "V"
-6.5 71 54 -17 "V"
-8.5 73 84 11 "H"
-14 74 50 -24 "H"
-4.5 57 53 -4 "V"
-7 79 65 -14 "V"
-10.5 73 66 -7 "H"
-12.5 69 77 8 "H"
-2 58 71 13 "V"
-10 68 64 -4 "V"
-12.5 70 52 -18 "H"
-15.5 73 56 -17 "H"
-7.5 78 89 11 "V"
-1 69 74 5 "V"
-10.5 73 58 -15 "H"
-5 79 69 -10 "N"
-3.5 64 66 2 "N"
-4.5 81 64 -17 "N"
-10.5 74 51 -23 "N"
3.5 70 73 3 "N"
-11.5 64 53 -11 "H"
6.5 83 68 -15 "N"
10.5 73 87 14 "N"
-11 90 70 -20 "H"
-8 87 76 -11 "H"
-6 61 78 17 "H"
-16 61 42 -19 "H"
-3 77 62 -15 "V"
-8 55 54 -1 "H1"
1.5 65 56 -9 "H"
5 72 62 -10 "V"
9 65 68 3 "V"
6.5 54 71 17 "H"
-4 98 93 -5 "H1"
3 78 60 -18 "H"
3 63 59 -4 "V"
5.5 92 96 4 "V"
-4.5 66 62 -4 "H"
-1 59 62 3 "H"
-2 55 60 5 "V"
7.5 63 62 -1 "V1"
-6.5 69 57 -12 "H"
-5.5 59 68 9 "H"
8 74 79 5 "V1"
2.5 56 57 1 "V"
10.5 58 73 15 "V"
3.5 89 88 -1 "N1"
4.5 75 80 5 "N"
-3.5 83 68 -15 "H"
8.5 86 89 3 "V"
-6.5 68 83 15 "N"
8.5 70 77 7 "N"
8.5 82 91 9 "H"
-4.5 81 78 -3 "H"
15 67 80 13 "V"
1.5 51 69 18 "V"
-10.5 56 33 -23 "H"
-11.5 88 80 -8 "H2"
8.5 64 76 12 "V"
-15 96 70 -26 "H"
-4.5 54 75 21 "V"
6 56 59 3 "V"
-6.5 73 60 -13 "H"
11 80 69 -11 "H"
-2.5 49 67 18 "V"
-3 83 75 -8 "V"
-1 73 71 -2 "H"
-10.5 62 60 -2 "H"
18 54 71 17 "V"
1 60 65 5 "V"
-3 73 60 -13 "H"
9.5 63 93 30 "V"
-9 73 62 -11 "H"
-3.5 72 75 3 "VN"
-7.5 84 68 -16 "H"
6.5 52 70 18 "V"
18 52 92 40 "V"
4 59 43 -16 "H"
4.5 69 56 -13 "N"
2.5 62 74 12 "N"
-9.5 58 56 -2 "H"
-12 83 58 -25 "H"
21 53 87 34 "V"
-3.5 72 65 -7 "H"
3 73 75 2 "H"
7 62 77 15 "V"
5.5 70 79 9 "V"
1 75 67 -8 "H"
-2 64 67 3 "V"
-3 67 53 -14 "H"
-5 88 76 -12 "H"
15 50 82 32 "V"
7 59 54 -5 "V"
-6.5 65 62 -3 "H"
3 62 57 -5 "V"
-3.5 66 70 4 "H"
-5 70 60 -10 "V"
9.5 62 86 24 "V"
8.5 61 66 5 "H"
4.5 52 65 13 "V"
1 58 73 15 "V"
-6 77 68 -9 "H"
3 78 71 -7 "H"
1 54 69 15 "N"
7 61 74 13 "V"
-7.5 77 73 -4 "V3"
-7 61 80 19 "V"
-4.5 65 72 7 "V"
-1 73 70 -3 "H"
-13.5 69 57 -12 "H"
1.5 54 61 7 "H"
5.5 69 73 4 "V"
-7 87 70 -17 "H"
3.5 63 54 -9 "V"
4 66 60 -6 "H1"
-5.5 75 61 -14 "H"
-10 64 66 2 "H"
-2.5 56 61 5 "V"
-16 63 39 -24 "H"
-7.5 67 74 7 "V1"
-10 63 38 -25 "H"
-8.5 74 62 -12 "H"
-10.5 75 66 -9 "H1"
11 60 73 13 "V"
2.5 67 49 -18 "V"
-9.5 86 62 -24 "H"
-10.5 87 54 -33 "V"
-13 58 50 -8 "H"
-4 50 74 24 "V"
-3 71 78 7 "V"
-9 68 63 -5 "N1"
-3.5 56 58 2 "N"
-11.5 61 50 -11 "H"
3.5 59 79 20 "N"
7.5 55 51 -4 "N"
6.5 63 73 10 "N"
4.5 49 50 1 "V"
-9 72 78 6 "H2"
-1 76 80 4 "H"
-15.5 64 50 -14 "H"
-9.5 81 62 -19 "H"
13 79 81 2 "VN"
4 78 72 -6 "H"
1.5 68 63 -5 "H"
3 74 71 -3 "V"
11.5 80 88 8 "V2"
10 53 75 22 "H"
4 61 73 12 "V"
7 61 63 2 "H"
4.5 49 57 8 "V"
15.5 77 91 14 "V"
3.5 49 37 -12 "H"
17 62 72 10 "V"
3 75 83 8 "H"
17 52 83 31 "H"
-1 56 65 9 "H"
12.5 55 88 33 "V"
11.5 43 61 18 "V"
1.5 55 62 7 "H"
5 75 82 7 "H"
-2 71 74 3 "V1"
5.5 62 71 9 "N"
-6.5 66 61 -5 "H"
-2.5 48 68 20 "H"
27.5 53 101 48 "V"
2 63 69 6 "H"
16.5 53 67 14 "V"
-7 62 51 -11 "H"
2.5 80 73 -7 "V"
15 56 66 10 "V"
-9 68 77 9 "H"
4 60 58 -2 "V"
4 47 61 14 "H"
19 64 71 7 "V"
5.5 57 71 14 "V"
1 63 66 3 "H"
6.5 82 62 -20 "V"
-1.5 78 85 7 "H"
5.5 59 70 11 "V"
10 42 69 27 "H"
5 65 62 -3 "H"
2 56 52 -4 "V"
-3 50 56 6 "H"
5 85 82 -3 "V"
-4 95 90 -5 "H"
6.5 86 72 -14 "V"
9.5 89 85 -4 "V"
-10.5 53 51 -2 "H"
3 61 76 15 "N"
-12.5 84 74 -10 "N"
-5.5 58 60 2 "N"
-6.5 97 78 -19 "N"
