"ISO3V10","Country","EPI_regions","Landlock","NoFor","NoEle","GDPCAP","GDPgroup","POP","EPI","EH","EV","eh.eh","ev.water","eh.water","ev.cc","eh.air","ev.air","ev.forest","ev.fish","ev.ag","ev.bh","ACSATINV","CHMORT","INDOOR","PM25","WATSUPINV","AGSUB","AZE","CO2CAP","CO2GDP","CO2KWH","FORCOVINV","FORGROINV","FORLOSS","FSOC","MPAEEZ","PACOV","POPs","RENEW","SO2CAP","SO2GDP","TCEEZ","WATUSEINV","EPI_trend","EH_trend","EV_trend","EH_EH_trend","EV_Water_trend","EH_Water_trend","EV_CC_trend","EH_Air_trend","EV_Air_trend","EV_Forest_trend","EV_Fish_trend","EV_Ag_trend","EV_BH_trend","ACSATINV_trend","CHMORT_trend","INDOOR_trend","PM25_trend","WATSUPINV_trend","AGSUB_trend","AZE_trend","CO2CAP_trend","CO2GDP_trend","CO2KWH_trend","FORLOSS_trend","FORGROINV_trend","FORCOVINV_trend","FSOC_trend","MPAEEZ_trend","PACOV_trend","POPs_trend","RENEW_trend","SO2CAP_trend","SO2GDP_trend","TCEEZ_trend","WATUSEINV_trend"
"ABW","Aruba","Latin America and Caribbean",0,1,0,22072.5,"Upper",107488,NA,NA,NA,78.23,48.16,100,NA,NA,NA,NA,41.16,0,0.09,NA,78.23,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.18,0,NA,NA,NA,82.31,48.16,NA,NA,NA,15.35,-25.92,39.88,NA,NA,NA,NA,2.38,0,0,NA,15.35,NA,NA,39.88,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,4.75,-25.92
"AFG","Afghanistan","South Asia",1,0,0,879.032667,"Lower",34385068.12,NA,15.96,NA,9.35,3.12,9.64,NA,35.49,NA,90.14,NA,0,1.45,9.89,9.35,2.18,68.8,9.4,NA,0,NA,NA,NA,100,100,70.42,NA,NA,2.18,0,NA,NA,NA,NA,3.12,NA,6.3,NA,11.21,-48.44,15.57,NA,-12.78,NA,-4.93,NA,0,0,5.71,11.21,1.43,-26.98,25.42,NA,0,NA,NA,NA,-14.79,0,0,NA,NA,0,0,NA,NA,NA,NA,-48.44
"AGO","Angola","Sub-Saharan Africa",0,0,0,5454.38381,"Middle",19081912,47.57,20.84,59.02,10.27,59.34,14.14,68.9,48.7,72.23,83.39,30.54,66.67,41.2,18,10.27,8.91,88.49,10.27,100,0,100,56.33,18.52,54.44,95.73,100,46.15,26.43,65.59,0,76.05,74.56,69.89,14.94,59.34,15.64,22.77,9.81,22.63,-20.33,17.6,21.91,28.2,47.66,-8.31,19.35,0,0,25.05,22.63,6.41,50,10.15,0,0,0,19.74,50,0,-2.14,-22.78,49.65,0,0,0,50,45.32,50,-10.95,-20.33
"AIA","Anguilla","Latin America and Caribbean",0,1,0,11600.98,"Middle",14766,NA,NA,NA,NA,64.02,NA,NA,NA,NA,100,48.46,66.67,52.27,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,100,0,52.29,29.59,0,NA,NA,NA,96.92,64.02,NA,NA,NA,NA,-17.99,NA,NA,NA,NA,0,0,0,0.16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0.15,11.56,0,NA,NA,NA,0,-17.99
"ALB","Albania","Eastern Europe and Central Asia",0,0,0,7667.374419,"Middle",3204284,65.85,82.19,58.85,78.23,23.19,72.28,85.85,100,57.54,58.34,17.4,66.67,61.72,76.2,78.23,NA,100,68.36,100,NA,100,68.84,78.95,61.67,42.93,70.42,11.34,76.58,59.06,0,99.39,56.89,58.19,23.47,23.19,16.8,22.12,12.45,31.74,-38.4,25,26.45,0,12.82,-20.83,8.42,0,40.28,50,31.74,NA,0,0,0,NA,-0.91,48.96,50,-14.79,-28.54,-19.17,0,8.06,46.05,0,14.24,8.46,17.18,16.84,-38.4
"AND","Andorra","Europe",1,0,0,43519.73,"Upper",84864,NA,NA,NA,NA,NA,100,NA,100,NA,100,NA,0,33.71,100,NA,100,NA,100,NA,NA,NA,NA,NA,100,NA,100,NA,NA,33.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.77,NA,0,NA,0,NA,0,0.16,50,NA,0,NA,49.54,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.16,0,NA,NA,NA,NA,NA
"ANT","Netherlands Antilles","Latin America and Caribbean",0,0,0,16200,"Upper",NA,NA,NA,31.31,80.63,42.25,NA,1.8,NA,9.34,91.54,42.41,0,52.99,NA,80.63,NA,NA,NA,NA,NA,0,0,11.99,100,NA,74.61,0,52.61,84.29,0,0,4.2,14.47,84.81,42.25,NA,NA,-3.56,12.03,-28.88,NA,-0.31,NA,20.51,-4.23,-25,0,0,NA,12.03,NA,NA,NA,NA,NA,0,-1.1,0.49,-12.69,NA,0,-50,0,0,0,0,14.89,26.13,0,-28.88
"ARE","United Arab Emirates","Middle East and North Africa",0,1,0,34750.50625,"Upper",7511690,50.91,87.69,35.15,91.43,10.27,84.98,2.78,82.94,32.53,100,28.67,28.24,85.72,69.96,91.43,100,65.87,100,42.36,NA,0,6.27,3.93,100,100,NA,28.56,81.52,86.94,0,0,15.24,49.81,28.78,10.27,9.57,18.75,2.05,50,-44.86,0,2.41,-25,15.02,0,-17.75,0,25.97,0,50,0,-50,0,0,NA,0,2.9,9.27,NA,0,0,-31.21,12.52,29.86,0,0,15.75,14.28,-4.3,-44.86
"ARG","Argentina","Latin America and Caribbean",0,0,0,14362.61581,"Upper",40412376,56.48,80.75,46.09,82.39,24.58,58.2,44.99,100,61.72,50.51,16.55,92.42,43.05,48.04,82.39,100,100,68.36,100,61.92,56.47,53.41,14.36,24.41,100,27.11,33.11,59.37,29.12,77.27,29.18,56.27,67.17,0,24.58,-0.51,12.66,-11.29,10.47,-37.71,4.68,-24.61,25,3.29,-24.75,14.69,0,0.03,-6.59,10.47,50,0,15.95,0,0,-50,14.35,-30.9,-36.44,0,-37.8,32.75,0,0.06,0,-50,0.02,6.57,-3.38,-37.71
"ARM","Armenia","Eastern Europe and Central Asia",1,0,0,4838.931526,"Middle",3092072,47.48,63.81,40.48,76.77,1.09,55.66,61.56,46.03,34.1,45.13,NA,65.08,32.54,48.04,76.77,19.46,72.6,63.27,56.72,3.38,95.94,52.8,27.69,9.69,25.71,100,NA,NA,47.12,81.82,35.67,38.64,29.57,NA,1.09,6.49,25.2,-8.83,33.94,-49.45,18.52,10.22,14.39,-31.84,-27.44,NA,0,7.21,7.47,33.94,12.08,16.71,29.58,0,0,-50,36.35,50,0,-37.15,-45.16,NA,NA,10.81,0,50,-50,-13.68,NA,-49.45
