"Date","Time","Chennai","Delhi","Hyderabad","Kolkata","Mumbai"
"1/1/2015","1:00 AM",75,NA,NA,199.2,75.7
"1/1/2015","2:00 AM",113,NA,NA,219.4,107.4
"1/1/2015","3:00 AM",93,NA,NA,196.5,134.7
"1/1/2015","4:00 AM",71,NA,NA,220.5,128.4
"1/1/2015","5:00 AM",59,NA,NA,193.8,99.2
"1/1/2015","6:00 AM",56,NA,NA,187.4,103.8
"1/1/2015","7:00 AM",71,NA,NA,208.2,122.5
"1/1/2015","8:00 AM",91,NA,NA,219.1,94.8
"1/1/2015","9:00 AM",71,NA,NA,225.9,116.9
"1/1/2015","10:00 AM",73,436,NA,163,137.1
"1/1/2015","11:00 AM",58,291,NA,110.5,118.8
"1/1/2015","12:00 PM",NA,270,NA,85,105
"1/1/2015","1:00 PM",29,207,NA,75.8,79.3
"1/1/2015","2:00 PM",35,163,NA,61.2,63.3
"1/1/2015","3:00 PM",56,313,NA,34.1,45.9
"1/1/2015","4:00 PM",56,233,NA,40.1,65.3
"1/1/2015","5:00 PM",37,173,NA,48,46.3
"1/1/2015","6:00 PM",39,178,NA,50.3,58.1
"1/1/2015","7:00 PM",NA,266,NA,62.9,47.6
"1/1/2015","8:00 PM",45,449,NA,48,43.1
"1/1/2015","9:00 PM",33,290,NA,51.4,48.8
"1/1/2015","10:00 PM",46,329,NA,64.6,64.5
"1/1/2015","11:00 PM",66,281,NA,43.9,70.2
"01/01/2015","11:59 PM",66,267,NA,40.7,77.2
"2/1/2015","1:00 AM",68,259,NA,29,125.2
"2/1/2015","2:00 AM",62,304,NA,28,101.8
"2/1/2015","3:00 AM",57,375,NA,28.1,100.1
"2/1/2015","4:00 AM",51,457,NA,34.1,101
"2/1/2015","5:00 AM",51,430,NA,37,99.7
"2/1/2015","6:00 AM",68,302,NA,36,87
"2/1/2015","7:00 AM",76,154,NA,38.1,100.1
"2/1/2015","8:00 AM",103,58,NA,44.1,117.1
"2/1/2015","9:00 AM",51,40,NA,60.8,162.6
"2/1/2015","10:00 AM",31,37,NA,50.1,144.7
"2/1/2015","11:00 AM",24,50,NA,54.9,125.9
"2/1/2015","12:00 PM",16,62,NA,47.9,97.6
"2/1/2015","1:00 PM",NA,54,NA,44,51
"2/1/2015","2:00 PM",20,54,NA,41.8,63.2
"2/1/2015","3:00 PM",21,62,NA,32.1,39.7
"2/1/2015","4:00 PM",19,104,NA,35.2,57.7
"2/1/2015","5:00 PM",19,107,NA,42.8,43.9
"2/1/2015","6:00 PM",26,83,NA,34.2,70.9
"2/1/2015","7:00 PM",26,93,NA,58.9,51.7
"2/1/2015","8:00 PM",27,88,NA,47.3,71.3
"2/1/2015","9:00 PM",26,81,NA,65,53.6
"2/1/2015","10:00 PM",31,87,NA,63,62.3
"2/1/2015","11:00 PM",NA,89,NA,62,90
"02/01/2015","11:59 PM",30,93,NA,42.8,102.1
"3/1/2015","1:00 AM",32,85,NA,37.8,121.7
"3/1/2015","2:00 AM",29,81,NA,28.9,118
"3/1/2015","3:00 AM",30,80,NA,21,117.3
"3/1/2015","4:00 AM",40,93,NA,20,110.1
"3/1/2015","5:00 AM",44,116,NA,23.1,128.2
"3/1/2015","6:00 AM",37,110,NA,29.2,187.4
"3/1/2015","7:00 AM",63,95,NA,38.2,144.3
"3/1/2015","8:00 AM",81,101,NA,49.1,149.4
"3/1/2015","9:00 AM",57,92,NA,55.1,156.3
"3/1/2015","10:00 AM",19,94,62,59.1,168.5
"3/1/2015","11:00 AM",23,83,43,65.3,138.5
"3/1/2015","12:00 PM",19,78,42.9,32,94.6
"3/1/2015","1:00 PM",23,81,43.3,44.6,67.5
"3/1/2015","2:00 PM",NA,101,52.2,34.9,70.5
"3/1/2015","3:00 PM",21,116,45.7,28,34
"3/1/2015","4:00 PM",26,137,43.3,27.8,34.1
"3/1/2015","5:00 PM",23,125,39.3,21.4,35.7
"3/1/2015","6:00 PM",22,118,49.7,36.6,32.9
"3/1/2015","7:00 PM",37,113,54,69.5,46.7
"3/1/2015","8:00 PM",23,118,47.9,43.8,65.7
"3/1/2015","9:00 PM",25,134,51.6,128.4,50.3
"3/1/2015","10:00 PM",26,174,34,148.9,53.1
"3/1/2015","11:00 PM",23,206,34.2,144.8,54.2
"03/01/2015","11:59 PM",25,202,35.4,131.9,57.4
"4/1/2015","1:00 AM",19,215,30.8,125.8,73.1
"4/1/2015","2:00 AM",27,189,29,114.8,95.8
"4/1/2015","3:00 AM",25,160,29.3,105.9,70.9
"4/1/2015","4:00 AM",NA,153,31,103,70
"4/1/2015","5:00 AM",20,131,31.2,101,96.1
"4/1/2015","6:00 AM",46,133,40.3,100.9,93.6
"4/1/2015","7:00 AM",70,128,43.9,90,54.7
"4/1/2015","8:00 AM",83,115,52.4,87.1,75
"4/1/2015","9:00 AM",92,82,63.4,93.8,74.6
"4/1/2015","10:00 AM",52,96,66,74,68.7
"4/1/2015","11:00 AM",67,123,64.7,69,53.1
"4/1/2015","12:00 PM",37,139,53.4,67,53.5
"4/1/2015","1:00 PM",22,141,42,63,46
"4/1/2015","2:00 PM",20,142,42.9,56,34.8
"4/1/2015","3:00 PM",18,127,50.1,55,32.6
"4/1/2015","4:00 PM",22,111,57,49.9,39.5
"4/1/2015","5:00 PM",24,111,43.6,44.9,46.1
"4/1/2015","6:00 PM",26,128,59.8,39.1,47.2
"4/1/2015","7:00 PM",21,164,73.6,45.1,49.8
"4/1/2015","8:00 PM",26,191,78.9,50.9,60.7
"4/1/2015","9:00 PM",23,181,83.8,47.1,81
