Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
1/6/2016,1:00 AM,20,41,32,16,34
1/6/2016,2:00 AM,32,33,40,13,43
1/6/2016,3:00 AM,36,28,39,9,74
1/6/2016,4:00 AM,27,18,33,8,52
1/6/2016,5:00 AM,31,22,35,16,46
1/6/2016,6:00 AM,33,23,35,14,38
1/6/2016,7:00 AM,27,30,30,12,46
1/6/2016,8:00 AM,28,27,42,14,38
1/6/2016,9:00 AM,31,24,43,25,48
1/6/2016,10:00 AM,27,22,34,26,52
1/6/2016,11:00 AM,---,32,54,25,37
1/6/2016,12:00 PM,---,31,44,30,34
1/6/2016,1:00 PM,---,25,48,30,44
1/6/2016,2:00 PM,---,30,61,21,45
1/6/2016,3:00 PM,---,29,60,42,36
1/6/2016,4:00 PM,---,37,41,24,35
1/6/2016,5:00 PM,30,36,59,26,44
1/6/2016,6:00 PM,---,40,66,26,55
1/6/2016,7:00 PM,---,34,54,29,59
1/6/2016,8:00 PM,---,44,66,30,70
1/6/2016,9:00 PM,---,31,90,23,65
1/6/2016,10:00 PM,38,31,71,17,36
1/6/2016,11:00 PM,48,30,68,17,26
01/06/2016 24:00 AM,,39,29,61,18,41
2/6/2016,1:00 AM,---,33,47,13,43
2/6/2016,2:00 AM,---,32,53,24,47
2/6/2016,3:00 AM,22,32,38,15,65
2/6/2016,4:00 AM,24,29,48,13,37
2/6/2016,5:00 AM,20,32,43,15,34
2/6/2016,6:00 AM,20,35,39,11,35
2/6/2016,7:00 AM,---,33,41,17,32
2/6/2016,8:00 AM,---,23,41,14,92
2/6/2016,9:00 AM,28,27,46,13,68
2/6/2016,10:00 AM,44,24,40,10,68
2/6/2016,11:00 AM,35,31,48,16,65
2/6/2016,12:00 PM,---,35,41,22,55
2/6/2016,1:00 PM,---,35,38,12,44
2/6/2016,2:00 PM,---,43,45,22,28
2/6/2016,3:00 PM,---,---,37,19,37
2/6/2016,4:00 PM,---,44,52,22,20
2/6/2016,5:00 PM,---,46,49,18,29
2/6/2016,6:00 PM,57,40,48,22,24
2/6/2016,7:00 PM,25,41,55,---,34
2/6/2016,8:00 PM,37,42,49,19,50
2/6/2016,9:00 PM,38,50,41,23,54
2/6/2016,10:00 PM,24,44,34,15,65
2/6/2016,11:00 PM,32,40,42,15,64
02/06/2016 24:00 AM,,34,28,31,17,76
3/6/2016,1:00 AM,29,27,33,13,75
3/6/2016,2:00 AM,21,30,35,14,96
3/6/2016,3:00 AM,23,25,32,8,81
3/6/2016,4:00 AM,14,26,30,7,81
3/6/2016,5:00 AM,30,20,29,15,118
3/6/2016,6:00 AM,26,26,31,12,107
3/6/2016,7:00 AM,26,37,38,11,108
3/6/2016,8:00 AM,39,33,37,13,122
3/6/2016,9:00 AM,36,33,45,8,126
3/6/2016,10:00 AM,56,34,39,20,122
3/6/2016,11:00 AM,41,33,47,16,99
3/6/2016,12:00 PM,42,38,53,20,94
3/6/2016,1:00 PM,42,39,42,---,77
3/6/2016,2:00 PM,43,32,45,7,58
3/6/2016,3:00 PM,32,33,44,18,48
3/6/2016,4:00 PM,31,35,49,21,38
3/6/2016,5:00 PM,27,42,61,16,63
3/6/2016,6:00 PM,44,41,78,21,54
3/6/2016,7:00 PM,47,38,208,23,55
3/6/2016,8:00 PM,50,35,87,12,74
3/6/2016,9:00 PM,48,35,65,18,89
3/6/2016,10:00 PM,56,37,53,17,84
3/6/2016,11:00 PM,44,38,44,20,97
03/06/2016 24:00 AM,,21,36,37,18,97
4/6/2016,1:00 AM,20,33,41,18,99
4/6/2016,2:00 AM,14,38,27,16,89
4/6/2016,3:00 AM,25,27,28,39,93
4/6/2016,4:00 AM,30,25,30,13,78
4/6/2016,5:00 AM,30,26,32,11,76
4/6/2016,6:00 AM,24,28,27,9,85
4/6/2016,7:00 AM,36,18,36,16,79
4/6/2016,8:00 AM,26,24,31,12,115
4/6/2016,9:00 AM,30,25,33,10,129
4/6/2016,10:00 AM,27,28,30,13,82
4/6/2016,11:00 AM,31,27,29,16,70
4/6/2016,12:00 PM,35,32,37,17,59
4/6/2016,1:00 PM,34,30,28,19,45
4/6/2016,2:00 PM,38,39,29,22,48
4/6/2016,3:00 PM,32,31,41,9,71
4/6/2016,4:00 PM,32,34,44,16,76
4/6/2016,5:00 PM,38,31,41,17,42
4/6/2016,6:00 PM,39,37,40,16,45
4/6/2016,7:00 PM,46,27,62,21,59
