"Date","Chennai","Delhi","Hyderabad","Kolkata","Mumbai"
2013-01-01,366.8,NA,NA,NA,NA
2013-01-01,290.7,NA,NA,NA,NA
2013-01-01,245.4,NA,NA,NA,NA
2013-01-01,220.3,NA,NA,NA,NA
2013-01-01,180.2,NA,NA,NA,NA
2013-01-01,140,NA,NA,NA,NA
2013-01-01,125,NA,NA,NA,NA
2013-01-01,111,NA,NA,NA,NA
2013-01-01,112,NA,NA,NA,NA
2013-01-01,129.4,NA,NA,NA,NA
2013-01-01,184.1,NA,NA,NA,NA
2013-01-01,284.8,NA,NA,NA,NA
2013-01-01,372.3,NA,NA,NA,NA
2013-01-01,456.7,NA,NA,NA,NA
2013-01-01,404.8,NA,NA,NA,NA
2013-01-01,328.1,NA,NA,NA,NA
2013-01-01,274.4,NA,NA,NA,NA
2013-01-01,285,NA,NA,NA,NA
2013-01-01,354.9,NA,NA,NA,NA
2013-01-01,395.5,NA,NA,NA,NA
2013-01-01,392.7,NA,NA,NA,NA
2013-01-01,442.1,NA,NA,NA,NA
2013-01-01,414.5,NA,NA,NA,NA
2013-01-02,391.2,NA,NA,NA,NA
2013-01-02,375.1,NA,NA,NA,NA
2013-01-02,310,NA,NA,NA,NA
2013-01-02,NA,NA,NA,NA,NA
2013-01-02,NA,NA,NA,NA,NA
2013-01-02,181.9,NA,NA,NA,NA
2013-01-02,152.5,NA,NA,NA,NA
2013-01-02,130.7,NA,NA,NA,NA
2013-01-02,127.8,NA,NA,NA,NA
2013-01-02,142.4,NA,NA,NA,NA
2013-01-02,190.3,NA,NA,NA,NA
2013-01-02,197.1,NA,NA,NA,NA
2013-01-02,243.1,NA,NA,NA,NA
2013-01-02,271.5,NA,NA,NA,NA
2013-01-02,246.1,NA,NA,NA,NA
2013-01-02,189.9,NA,NA,NA,NA
2013-01-02,162.1,NA,NA,NA,NA
2013-01-02,178.4,NA,NA,NA,NA
2013-01-02,201.5,NA,NA,NA,NA
2013-01-02,253.3,NA,NA,NA,NA
2013-01-02,289.7,NA,NA,NA,NA
2013-01-02,358,NA,NA,NA,NA
2013-01-02,380.7,NA,NA,NA,NA
2013-01-02,300,NA,NA,NA,NA
2013-01-03,202.4,NA,NA,NA,NA
2013-01-03,150.5,NA,NA,NA,NA
2013-01-03,130.9,NA,NA,NA,NA
2013-01-03,128.8,NA,NA,NA,NA
2013-01-03,110.5,NA,NA,NA,NA
2013-01-03,92.2,NA,NA,NA,NA
2013-01-03,108,NA,NA,NA,NA
2013-01-03,93.9,NA,NA,NA,NA
2013-01-03,92.8,NA,NA,NA,NA
2013-01-03,107.9,NA,NA,NA,NA
2013-01-03,163.5,NA,NA,NA,NA
2013-01-03,186.9,NA,NA,NA,NA
2013-01-03,226.5,NA,NA,NA,NA
2013-01-03,233.1,NA,NA,NA,NA
2013-01-03,230.9,NA,NA,NA,NA
2013-01-03,172.2,NA,NA,NA,NA
2013-01-03,163.3,NA,NA,NA,NA
2013-01-03,180.1,NA,NA,NA,NA
2013-01-03,184.5,NA,NA,NA,NA
2013-01-03,235.5,NA,NA,NA,NA
2013-01-03,274.4,NA,NA,NA,NA
2013-01-03,321.2,NA,NA,NA,NA
2013-01-03,307.5,NA,NA,NA,NA
2013-01-03,275,NA,NA,NA,NA
2013-01-04,303.3,NA,NA,NA,NA
2013-01-04,293.5,NA,NA,NA,NA
2013-01-04,282.8,NA,NA,NA,NA
2013-01-04,217.4,NA,NA,NA,NA
2013-01-04,127.8,NA,NA,NA,NA
2013-01-04,96.6,NA,NA,NA,NA
2013-01-04,91.3,NA,NA,NA,NA
2013-01-04,96.3,NA,NA,NA,NA
2013-01-04,101.5,NA,NA,NA,NA
2013-01-04,111.7,NA,NA,NA,NA
2013-01-04,168.6,NA,NA,NA,NA
2013-01-04,247.4,NA,NA,NA,NA
2013-01-04,309.7,NA,NA,NA,NA
2013-01-04,319,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-04,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-05,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,NA,NA,NA,NA,NA
2013-01-06,297.1,NA,NA,NA,NA
2013-01-07,271,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,NA,NA,NA,NA,NA
2013-01-07,214.7,NA,NA,NA,NA
2013-01-07,238.5,NA,NA,NA,NA
2013-01-07,254.1,NA,NA,NA,NA
2013-01-07,199.4,NA,NA,NA,NA
2013-01-07,164.2,NA,NA,NA,NA
2013-01-07,154,NA,NA,NA,NA
2013-01-07,157.7,NA,NA,NA,NA
2013-01-07,210.3,NA,NA,NA,NA
2013-01-07,260.4,NA,NA,NA,NA
2013-01-07,335.8,NA,NA,NA,NA
2013-01-07,379.3,NA,NA,NA,NA
2013-01-07,459.4,NA,NA,NA,NA
2013-01-07,398.1,NA,NA,NA,NA
2013-01-08,397,NA,NA,NA,NA
2013-01-08,353.7,NA,NA,NA,NA
2013-01-08,306.4,NA,NA,NA,NA
2013-01-08,254.3,NA,NA,NA,NA
2013-01-08,203.1,NA,NA,NA,NA
2013-01-08,176.7,NA,NA,NA,NA
2013-01-08,173.4,NA,NA,NA,NA
2013-01-08,192.6,NA,NA,NA,NA
2013-01-08,203.3,NA,NA,NA,NA
2013-01-08,236.2,NA,NA,NA,NA
2013-01-08,265,NA,NA,NA,NA
2013-01-08,248.5,NA,NA,NA,NA
2013-01-08,211.8,NA,NA,NA,NA
2013-01-08,167.7,NA,NA,NA,NA
2013-01-08,149.9,NA,NA,NA,NA
2013-01-08,147,NA,NA,NA,NA
2013-01-08,133.3,NA,NA,NA,NA
2013-01-08,139.2,NA,NA,NA,NA
2013-01-08,171.6,NA,NA,NA,NA
2013-01-08,207.8,NA,NA,NA,NA
2013-01-08,233.2,NA,NA,NA,NA
2013-01-08,250.1,NA,NA,NA,NA
2013-01-08,265.5,NA,NA,NA,NA
2013-01-08,269.7,NA,NA,NA,NA
2013-01-09,238.9,NA,NA,NA,NA
2013-01-09,251,NA,NA,NA,NA
2013-01-09,250,NA,NA,NA,NA
2013-01-09,235.4,NA,NA,NA,NA
2013-01-09,226.2,NA,NA,NA,NA
2013-01-09,217.7,NA,NA,NA,NA
2013-01-09,239.2,NA,NA,NA,NA
2013-01-09,229,NA,NA,NA,NA
2013-01-09,245.3,NA,NA,NA,NA
2013-01-09,274.8,NA,NA,NA,NA
2013-01-09,256.8,NA,NA,NA,NA
